id,draw_date,card_id
1,2025-05-20,9
2,2025-05-21,7
3,2025-05-22,40
4,2025-05-23,53
5,2025-05-24,71
6,2025-05-25,21
7,2025-05-26,14
8,2025-05-27,18
9,2025-05-28,71
10,2025-05-29,75
11,2025-05-30,15
12,2025-05-31,21
13,2025-06-01,71
14,2025-06-02,63
15,2025-06-03,5
16,2025-06-04,63
17,2025-06-05,15
18,2025-06-06,70
19,2025-06-07,70
20,2025-06-08,38
21,2025-06-09,2
22,2025-06-10,20
23,2025-06-11,12
24,2025-06-12,65
25,2025-06-13,45
26,2025-06-14,69
27,2025-06-15,69
28,2025-06-16,33
29,2025-06-17,7
30,2025-06-18,67
31,2025-06-19,20
32,2025-06-20,1
33,2025-06-21,1
34,2025-06-22,16
35,2025-06-23,28
36,2025-06-24,63
37,2025-06-25,2
38,2025-06-26,61
39,2025-06-27,67
40,2025-06-28,67
41,2025-06-29,72
42,2025-06-30,73
43,2025-07-01,75
44,2025-07-02,5
45,2025-07-03,72
46,2025-07-04,5
47,2025-07-05,67
48,2025-07-06,15
49,2025-07-07,63
50,2025-07-08,21
51,2025-07-09,74
52,2025-07-10,74
53,2025-07-11,19
54,2025-07-12,14
55,2025-07-13,17
56,2025-07-14,10
57,2025-07-15,73
58,2025-07-16,71
59,2025-07-17,68
60,2025-07-18,17
61,2025-07-19,1
62,2025-07-20,21
63,2025-07-21,17
64,2025-07-22,17
65,2025-07-23,1
66,2025-07-24,20
67,2025-07-25,53
68,2025-07-26,13
69,2025-07-27,4
70,2025-07-28,12
71,2025-07-29,1
72,2025-07-30,72
73,2025-07-31,53
74,2025-08-01,58
75,2025-08-02,14
76,2025-08-03,68
77,2025-08-04,15
78,2025-08-05,20
79,2025-08-06,14
80,2025-08-07,21
81,2025-08-08,72
82,2025-08-09,20
83,2025-08-10,69
84,2025-08-11,18
85,2025-08-12,70
86,2025-08-13,63
87,2025-08-14,63
88,2025-08-15,44
89,2025-08-16,22
90,2025-08-17,13
91,2025-08-18,26
92,2025-08-19,4
93,2025-08-20,15
94,2025-08-21,75
95,2025-08-22,21
96,2025-08-23,62
97,2025-08-24,42
98,2025-08-25,18
99,2025-08-26,10
100,2025-08-27,63
101,2025-08-28,16
102,2025-08-29,16
103,2025-08-30,21
104,2025-08-31,8
105,2025-09-01,27
106,2025-09-02,77
107,2025-09-03,21
108,2025-09-04,21
109,2025-09-05,28
110,2025-09-06,13
111,2025-09-07,69
112,2025-09-08,5
113,2025-09-09,67
114,2025-09-10,21
115,2025-09-11,13
116,2025-09-12,5
117,2025-09-13,67
118,2025-09-14,63
119,2025-09-15,21
120,2025-09-16,68
121,2025-09-17,69
122,2025-09-18,68
123,2025-09-19,68
124,2025-09-20,70
125,2025-09-21,70
126,2025-09-22,17
127,2025-09-23,17
128,2025-09-24,14
129,2025-09-25,68
130,2025-09-26,68
131,2025-09-27,2
132,2025-09-28,71
133,2025-09-29,71
134,2025-09-30,12
135,2025-10-01,75
136,2025-10-02,20
137,2025-10-03,74
138,2025-10-04,41
139,2025-10-05,25
140,2025-10-06,25
141,2025-10-07,41
142,2025-10-08,70
143,2025-10-09,41
144,2025-10-10,15
145,2025-10-11,71
146,2025-10-12,2
147,2025-10-13,3
148,2025-10-15,3
149,2025-10-16,72
150,2025-10-17,20
151,2025-10-18,69
152,2025-10-19,20
153,2025-10-20,20
154,2025-10-21,72
155,2025-10-22,63
156,2025-10-23,70
157,2025-10-24,5
158,2025-10-25,70
159,2025-10-26,21
160,2025-10-27,72
161,2025-10-28,72
